品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
おつまみ小鉢 鉄板焼肉,https://www.hko.co.jp/products/canning/detail/id=577,株式会社宝幸,畜肉缶詰,約3年,65g,馬肉、しょうゆ、砂糖、ビーフエキス、香辛料、チキンコンソメ／増粘剤（加工デンプン、グァーガム）、調味料（アミノ酸等）、カラメル色素、甘味料（カンゾウ）、（一部に乳成分・小麦・牛肉・大豆・鶏肉を含む）,None
レスキューフーズ 牛肉大和煮,http://www.foricafoods.co.jp/rescue/536,ホリカフーズ株式会社,畜肉缶詰,約3年6ヶ月,70g,牛肉､しょうゆ､砂糖､果実調味料､かつお節エキス／加工デンプン、pH調整剤、(一部に小麦・牛肉・大豆を含む),小麦、牛肉、大豆
レスキューフーズ 牛肉すきやき,http://www.foricafoods.co.jp/rescue/537,ホリカフーズ株式会社,畜肉缶詰,約3年6ヶ月,70g,しらたき､牛肉､砂糖､しょうゆ､たけのこ､しいたけ､凍豆腐、こんぶエキス､寒天、(一部に小麦・牛肉・大豆を含む),小麦、牛肉、大豆
レスキューフーズ 鶏肉うま煮,http://www.foricafoods.co.jp/rescue/538,ホリカフーズ株式会社,畜肉缶詰,約3年6ヶ月,70g,鶏肉､しょうゆ､砂糖､果実調味料､発酵調味料､かつお節エキス、香辛料／加工デンプン、ｐＨ調整剤、(一部に小麦・大豆・鶏肉を含む),小麦、大豆、鶏肉
レスキューフーズ とりそぼろ,http://www.foricafoods.co.jp/rescue/539,ホリカフーズ株式会社,畜肉缶詰,約3年6ヶ月,70g,鶏肉､しょうゆ､砂糖､粒状大豆たん白､ごま油､ごま､たん白加水分解物､(原材料の一部に小麦・ごま・大豆・鶏肉・豚肉を含む),小麦、ごま、大豆、鶏肉、豚肉
かつお生姜煮 タイ産 70g,https://www.hoteifoods.co.jp/products/k1083/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,かつお、砂糖、しょうが、しょうゆ（小麦・大豆を含む）、食塩、野菜エキス／調味料（アミノ酸）、増粘剤（加工でん粉、増粘多糖類）,小麦、大豆
つぶ貝味付 90g,https://www.hoteifoods.co.jp/products/d-05/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,90g,アヤボラ、醤油（大豆・小麦を含む）、砂糖、鰹節エキス、香辛料、発酵調味料／調味料（アミノ酸等）、増粘多糖類、カラメル色素、香料,小麦、大豆
つぼ焼風味 65g,https://www.hoteifoods.co.jp/products/d-06/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,65g,トップシェル、醤油（大豆・小麦を含む）、発酵調味料、砂糖、鰹節エキス、ロースト醤油ペースト、食塩、昆布エキス／増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸等）、乳酸カルシウム、カラメル色素、香料、フィチン酸、香辛料抽出物,小麦、大豆
赤貝味付 GP4号,https://www.hoteifoods.co.jp/products/d-09/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,赤貝（さるぼう貝）（国産）、しょうゆ（小麦・大豆を含む）、糖類（砂糖、糖みつ）、香辛料、発酵調味料／増粘剤（加工でん粉、増粘多糖類）、調味料（アミノ酸）、カラメル色素、香辛料抽出物,小麦、大豆
あさり味付 70g,https://www.hoteifoods.co.jp/products/k0999/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,あさり、砂糖、醤油（大豆・小麦を含む）、しょうが、食塩／増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸）、カラメル色素,小麦、大豆
あさり水煮化学調味料不使用 G8号,https://www.hoteifoods.co.jp/products/d-11/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,125g,あさり、食塩、発酵調味料、酵母エキス、pH調整剤,None
焼鮭中骨 65g,https://www.hoteifoods.co.jp/products/sf-01/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,65g,しろざけ中骨（国産）、食塩、砂糖、香辛料／調味料（アミノ酸等）、香料（大豆を含む）、酸化防止剤（ビタミンC）、加工デンプン,大豆、さけ
まぐろフレーク味付 タイ産 110g,https://www.hoteifoods.co.jp/products/sf-02/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,110g,まぐろ、砂糖、醤油（大豆・小麦を含む）、食塩,小麦、大豆
さば味付 180g,https://www.hoteifoods.co.jp/products/k0979/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,180g,さば（国産）、糖類（砂糖、糖みつ）、醤油（大豆・小麦を含む）、澱粉、食塩／増粘剤（グァーガム）,小麦、大豆、さば
さばみそ煮 180g,https://www.hoteifoods.co.jp/products/k0980/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,180g,さば（国産）、砂糖、みそ（大豆を含む、大豆：非遺伝子組換）、澱粉、食塩／増粘剤（グァーガム）,大豆、さば
さば水煮 180g,https://www.hoteifoods.co.jp/products/k0981/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,180g,さば（国産）、食塩,さば
いわし味付 100g,https://www.hoteifoods.co.jp/products/k1034/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,100g,いわし（国産）、糖類（砂糖、糖みつ）、しょうゆ（小麦・大豆を含む）、発酵調味料、香辛料、魚醤（魚介類）／増粘剤（グァーガム）,小麦、大豆
さんま蒲焼 100g,https://www.hoteifoods.co.jp/products/k1035/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,100g,さんま、糖類（糖みつ、砂糖）、しょうゆ（小麦・大豆を含む）、発酵調味料、でん粉、食塩／増粘剤（グァーガム）,小麦、大豆
ツナカル 70g,https://www.hoteifoods.co.jp/products/t-01/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,きはだまぐろ、大豆油、食塩／調味料（アミノ酸等）,大豆
ツナカルLIGHT1/2 70g,https://www.hoteifoods.co.jp/products/t-02/,株式会社ホテイフーズコーポレーション,水産缶詰,約3年,70g,きはだまぐろ、大豆油、鶏ガラスープ、食塩／調味料（アミノ酸等）,大豆、鶏肉
