品名,URL,メーカー,名称,保存期間,内容量,出来上がり量,原材料,アレルゲン
レスキューライス （ピラフ）,https://yamakiya.ne.jp/product/33/,株式会社山貴屋,アルファ米,7年,100g,280g,うるち米（国産/岡山県産）、具（鶏肉、鶏卵、コーン、人参・タマネギ）、食塩、チキンエキスパウダー、野菜エキスパウダー、バター風味パウダー、酵母エキスパウダー、パセリ、香味油、粉末醤油、魚介エキスパウダー、ローレル、植物性油脂、調味料（アミノ酸等）、香料、酸化防止剤（ビタミンE）、酸味料他,卵、乳成分、小麦、大豆、鶏肉
IZAMESHI ごはん,https://izameshi.com/gohan/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米（国産）,なし
IZAMESHI ひじきご飯,https://izameshi.com/hijiki-gohan/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米(国産)、にんじん、れんこん水煮、食塩、ごぼう、風味調味料、乾燥ひじき、砂糖、しいたけ、ほたて貝ひも、穀物酢、しょうが、植物油脂,なし
IZAMESHI わかめご飯,https://izameshi.com/wakame-gohan/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米（国産）、食塩、乾燥わかめ、風味調味料,なし
IZAMESHI 五目ご飯,https://izameshi.com/gomoku-gohan/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米（国産）、にんじん、ごぼう、こんにゃく、しいたけ、たけのこ水煮、食塩、風味調味料、ほたて貝ひも、砂糖、しょうが、植物油脂／水酸化Ca,なし
IZAMESHI 小松菜ご飯,https://izameshi.com/komatsuna-gohan/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米(国産)、こまつな、食塩、風味調味料,なし
IZAMESHI ドライカレー,https://izameshi.com/drycurry/,杉田エース株式会社,アルファ米,5年,100g,260g,うるち米（国産）、とうもろこし、にんじん、たまねぎ、食塩、風味調味料、砂糖、カレー粉、塩麹、ココナッツミルク、果実酢、クミン、コリアンダー、シナモン、うこん、にんにく、しょうが、植物油脂、ローレル／酒精,なし
アルファ化米（ひじきご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米（国産）、にんじん、れんこん、食塩、ごぼう、風味調味料、乾燥ひじき、砂糖、しいたけ、冷凍ほたて貝ヒモ、穀物酢、しょうが、植物油脂,なし
アルファ化米（五目ご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米（国産）、にんじん、ごぼう、こんにゃく、しいたけ、たけのこ水煮、食塩、風味調味料、冷凍ほたて貝ヒモ、砂糖、しょうが、植物油脂／水酸化Ca,なし
アルファ化米（菜飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米（国産）、こまつな、食塩、風味調味料,なし
アルファ化米（わかめご飯）,https://www.nozomi-f.jp/products.html,希望食品株式会社,アルファ米,5年,100g,None,うるち米、食塩、乾燥わかめ、風味調味料,なし
